activities,cycleTime,edit,test,resrouces,interactingIDE,other,work
2,64,1,1,0,0,0,Debugging
3,41,2,1,0,0,0,Debugging
2,65,1,1,0,0,0,Debugging
2,179,1,1,0,0,0,Debugging
2,307,1,1,0,0,0,Debugging
2,278,1,1,0,0,0,Debugging
2,34,1,1,0,0,0,Debugging
4,78,3,1,0,0,0,Debugging
2,22,1,1,0,0,0,Debugging
2,266,1,1,0,0,0,Debugging
3,36,2,1,0,0,0,Debugging
4,26,3,1,0,0,0,Debugging
6,87,5,1,0,0,0,Debugging
2,47,1,1,0,0,0,Debugging
5,60,3,1,0,1,0,Debugging
2,17,1,1,0,0,0,Debugging
3,27,2,1,0,0,0,Debugging
2,16,1,1,0,0,0,Debugging
2,11,1,1,0,0,0,Debugging
3,89,1,1,0,1,0,Debugging
2,10,1,1,0,0,0,Debugging
2,10,1,1,0,0,0,Debugging
2,6,1,1,0,0,0,Debugging
4,57,1,2,0,1,0,Debugging
2,31,1,1,0,0,0,Debugging
3,39,1,1,0,1,0,Debugging
2,46,1,1,0,0,0,Debugging
2,52,1,1,0,0,0,Debugging
3,63,1,1,0,0,1,Debugging
2,77,1,1,0,0,0,Debugging
3,70,2,1,0,0,0,Debugging
2,206,1,1,0,0,0,Debugging
2,155,1,1,0,0,0,Debugging
2,143,1,1,0,0,0,Debugging
2,34,1,1,0,0,0,Debugging
2,25,1,1,0,0,0,Debugging
6,186,3,1,0,2,0,Debugging
5,101,2,1,0,2,0,Debugging
2,19,1,1,0,0,0,Debugging
2,195,1,1,0,0,0,Debugging
2,84,1,1,0,0,0,Debugging
4,88,1,1,0,1,1,Debugging
2,95,1,1,0,0,0,Debugging
4,147,2,1,0,1,0,Debugging
2,52,1,1,0,0,0,Debugging
2,46,1,1,0,0,0,Debugging
2,21,1,1,0,0,0,Debugging
3,175,1,2,0,0,0,Debugging
3,496,1,1,0,1,0,Debugging
2,64,1,1,0,0,0,Debugging
2,12,1,1,0,0,0,Debugging
2,21,1,1,0,0,0,Debugging
2,16,1,1,0,0,0,Debugging
2,24,1,1,0,0,0,Debugging
2,430,1,1,0,0,0,Debugging
2,12,1,1,0,0,0,Debugging
2,11,1,1,0,0,0,Debugging
2,26,1,1,0,0,0,Debugging
2,25,1,1,0,0,0,Debugging
2,52,1,1,0,0,0,Debugging
2,35,1,1,0,0,0,Debugging
2,15,1,1,0,0,0,Debugging
2,130,1,1,0,0,0,Debugging
2,227,1,1,0,0,0,Debugging
3,1027,1,1,0,1,0,Debugging
3,658,2,1,0,0,0,Debugging
5,1206,2,1,0,2,0,Debugging
20,601,12,2,0,6,0,Debugging
4,81,3,1,0,0,0,Debugging
2,22,1,1,0,0,0,Debugging
2,44,1,1,0,0,0,Debugging
8,97,5,2,0,1,0,Debugging
4,49,3,1,0,0,0,Debugging
2,25,1,1,0,0,0,Debugging
5,94,1,1,1,1,1,Debugging
2,81,1,1,0,0,0,Debugging
2,17,1,1,0,0,0,Debugging
2,21,1,1,0,0,0,Debugging
2,101,1,1,0,0,0,Debugging
2,91,1,1,0,0,0,Debugging
2,49,1,1,0,0,0,Debugging
2,31,1,1,0,0,0,Debugging
6,159,4,1,1,0,0,Debugging
4,54,2,1,1,0,0,Debugging
4,346,2,1,0,1,0,Debugging
17,692,9,1,0,6,1,Debugging
7,257,4,1,0,0,2,Debugging
7,314,6,1,0,0,0,Debugging
6,331,5,1,0,0,0,Debugging
4,231,2,1,0,1,0,Debugging
4,189,3,1,0,0,0,Debugging
2,14,1,1,0,0,0,Debugging
2,27,1,1,0,0,0,Debugging
4,404,2,1,0,0,1,Debugging
47,820,28,1,1,15,2,Debugging
3,52,1,1,0,0,1,Debugging
2,273,1,1,0,0,0,Debugging
2,45,1,1,0,0,0,Debugging
11,227,7,1,0,3,0,Debugging
3,141,1,1,0,1,0,Debugging
4,198,1,2,0,1,0,Debugging
4,112,2,1,0,1,0,Debugging
7,256,4,1,0,2,0,Debugging
2,32,1,1,0,0,0,Debugging
5,158,4,1,0,0,0,Debugging
2,69,1,1,0,0,0,Debugging
2,39,1,1,0,0,0,Debugging
10,191,7,1,2,0,0,Debugging
2,79,1,1,0,0,0,Debugging
3,187,2,1,0,0,0,Debugging
2,6,1,1,0,0,0,Debugging
4,96,3,1,0,0,0,Debugging
2,24,1,1,0,0,0,Debugging
2,11,1,1,0,0,0,Debugging
2,44,1,1,0,0,0,Debugging
9,169,8,1,0,0,0,Debugging
12,142,11,1,0,0,0,Debugging
2,31,1,1,0,0,0,Debugging
2,6,1,1,0,0,0,Debugging
2,24,1,1,0,0,0,Debugging
2,9,1,1,0,0,0,Debugging
3,21,2,1,0,0,0,Debugging
2,16,1,1,0,0,0,Debugging
2,31,1,1,0,0,0,Debugging
2,69,1,1,0,0,0,Debugging
2,7,1,1,0,0,0,Debugging
5,144,2,1,0,2,0,Debugging
10,203,6,1,0,3,0,Debugging
14,281,11,1,0,2,0,Debugging
10,238,9,1,0,0,0,Debugging
2,36,1,1,0,0,0,Debugging
9,54,8,1,0,0,0,Debugging
37,307,35,1,0,1,0,Debugging
5,47,4,1,0,0,0,Debugging
7,58,6,1,0,0,0,Debugging
3,88,2,1,0,0,0,Debugging
3,59,2,1,0,0,0,Debugging
3,70,2,1,0,0,0,Debugging
4,84,3,1,0,0,0,Debugging
2,67,1,1,0,0,0,Debugging
2,121,1,1,0,0,0,Debugging
2,13,1,1,0,0,0,Debugging
2,43,1,1,0,0,0,Debugging
8,208,5,1,0,1,1,Debugging
2,47,1,1,0,0,0,Debugging
2,59,1,1,0,0,0,Debugging
2,7,1,1,0,0,0,Debugging
2,92,1,1,0,0,0,Debugging
2,101,1,1,0,0,0,Debugging
2,61,1,1,0,0,0,Debugging
2,54,1,1,0,0,0,Debugging
2,63,1,1,0,0,0,Debugging
4,65,3,1,0,0,0,Debugging
2,109,1,1,0,0,0,Debugging
